"status_id","corpus_user_id","Gender"
"x1096102259799351297","x646","i"
"x1096102773274431488","x646","i"
"x1096096442383560705","x646","i"
"x1096074405250240518","x646","i"
"x1096070847465426946","x646","i"
"x1083341936235331584","x646","i"
"x1096073656625758208","x646","i"
"x1096104535515426816","x646","i"
"x1096078014264291329","x646","i"
"x1096095656308080640","x646","i"
"x1096072550885613568","x646","i"
"x1096089515691790339","x646","i"
"x1096083044782481409","x646","i"
"x1100891822728101888","x1326","i"
"x1100323666099867649","x1930","f"
"x1083271529121619968","x1930","f"
"x1100304351413895168",,
"x1100298933493026816","x907","f"
"x1100151613174493185","x793","m"
"x1100083571870625794","x613","i"
"x1080476291164528640","x613","i"
"x1087623833073405952","x1616","f"
"x1083269908878770176","x1616","f"
"x1080535925611024385","x1616","f"
"x1092328783854612480","x1616","f"
"x1100083557169549317","x1616","f"
"x1081109599837700101","x1616","f"
"x1100080231833047041",,
"x1100032330272526336","x53","m"
"x1096284546662842369","x53","m"
"x1081075320596414465","x53","m"
"x1096289688850235394","x53","m"
"x1100031795368812544","x550","f"
"x1055447950531403776","x4","m"
"x1087493988599455745","x4","m"
"x1058772935467589634","x4","m"
"x1054632277165203456","x4","m"
"x1054629208289357824","x4","m"
"x1100023377010536448","x4","m"
"x1096069991332491264","x1873","m"
"x1100019450026344448","x1873","m"
"x1100017590594719744","x1750","f"
"x1100016189449949185","x1225","i"
"x1098143175976370177","x1225","i"
"x1100006700508237827","x813","m"
"x1096190659126575104","x813","m"
"x1096341036597735424","x813","m"
"x1054619660711325696","x1281","m"
"x1100006464398213121","x1281","m"
"x1099995270841024512","x1617","m"
"x1099991845952765953","x1448","m"
"x1099353794754813952",,
"x1097790833993105408",,
"x1097787461252628480","x1001","a"
"x1096421550998339585","x1001","a"
"x1096374179845292033","x1001","a"
"x1096374232689360897","x1001","a"
"x1097033590452441088","x1618","i"
"x1096329899319664641","x150","m"
"x1096063859184545792","x150","m"
"x1096322685217529856","x20","m"
"x1096315891745243136","x1532","f"
"x1096309231425327104",,
"x1096277950503272449","x830","m"
"x1053987795516170240",,
"x1096209446093639680",,
"x1083478512210767872",,
"x1096205303304081408","x160","m"
"x1046362560629526528","x160","m"
"x1096205248828506113","x160","m"
"x1083477789842591745","x160","m"
"x1096205732377214976","x160","m"
"x1096205361764282368","x160","m"
"x1096205487387930624","x160","m"
"x1096205664676995072","x160","m"
"x1096205463308460034","x160","m"
"x1096205533894373376","x160","m"
"x1053955455632982016","x160","m"
"x1096205593386369024","x160","m"
"x1096205769719119873","x160","m"
"x1096181715939323904",,
"x1096181458883002369",,
"x1096142074037063680","x171","f"
"x1096103417737605121",,
"x1096103233397886976","x775","m"
"x1096100327617712128","x1486","m"
"x1096097848087715841","x21","f"
"x1096083033273389059",,
"x1096087206010257415",,
"x1096087195910328321",,
"x1096085606537592832","x1033","m"
"x1096077530862403590","x516","m"
"x1096074717486829570","x503","m"
"x1096071818052538370",,
"x1096070668209262593","x1694","m"
"x1095998854594478081","x963","i"
"x1081175382282387456","x963","i"
"x1092468466148364288","x1698","m"
"x1053401533486977026","x1499","m"
"x1059414751405662210","x1499","m"
"x1059725144787247104","x1499","m"
"x1092362206040256512","x1499","m"
"x1087342525042561024","x1825","m"
"x1092356863096692736","x1825","m"
"x1056875701696151552","x1768","m"
"x1059431525836562432","x1768","m"
"x1092354254067691520","x1768","m"
"x1092156272030433281","x386","m"
"x1088090756672352256",,
"x1087722584341442560","x684","f"
"x1087467482510700545","x1299","f"
"x1087464318738853889","x321","f"
"x1055816372897398784","x1748","i"
"x1083267453176692736","x1748","i"
"x1087453502702538753","x1748","i"
"x1083441963725144064","x1748","i"
"x1080427408682033157","x1748","i"
"x1080783851176251392","x1748","i"
"x1067171898801438720","x1748","i"
"x1057285571482210304","x1748","i"
"x1073239850369851398","x1748","i"
"x1083434630567493632","x1748","i"
"x1083438456582389760","x1748","i"
"x1083418643176869888","x1748","i"
"x1084882533534162944","x1748","i"
"x1061278135017193483","x1748","i"
"x1083436966807564295","x1748","i"
"x1083425304356491265","x1748","i"
"x1080962006478479360","x1748","i"
"x1083428229564846081","x1748","i"
"x1083600523616550912","x1748","i"
"x1058692259976228865","x1748","i"
"x1083442588500328448","x1748","i"
"x1083422441580490752","x1748","i"
"x1083457218412978176","x1748","i"
"x1083460669150806018","x1748","i"
"x1062449459664244736","x1748","i"
"x1083434007709315075","x1748","i"
"x1083452603621691392","x1748","i"
"x1067432973580914690","x1748","i"
"x1083347524906307584","x1748","i"
"x1083446438992973826","x1748","i"
"x1083300742671331329","x1748","i"
"x1083447519605129222","x1748","i"
"x1083445660727300097","x1748","i"
"x1083693905193959424","x1748","i"
"x1083451308215058432","x1748","i"
"x1087302107408056321","x1748","i"
"x1066836954019450880","x1748","i"
"x1084791961679249408","x1748","i"
"x1083314477389500416","x1748","i"
"x1083432623555383298","x1748","i"
"x1083454237927985152","x1748","i"
"x1083423760659763201","x1748","i"
"x1080820884577964032","x1748","i"
"x1066913460703961088","x211","m"
"x1081061820901793793","x211","m"
"x1080853151144656896","x211","m"
"x1087340737996431365","x211","m"
"x1058723395410505728","x211","m"
"x1066964602188152833","x211","m"
"x1080435030663577600","x211","m"
"x1083591344289996801","x211","m"
"x1080835129101242368","x211","m"
"x1083268414368636930","x211","m"
"x1083349764316504064","x211","m"
"x1087335461947953152","x1080","f"
"x1083274613243691008",,
"x1087318151350624257",,
"x1087311578276483073",,
"x1080428013693689857",,
"x1081101662733979648","x312","m"
"x1059357869051731968","x312","m"
"x1083454914293125121","x312","m"
"x1084794166813605888","x312","m"
"x1083721527231766528",,
"x1083619218262757377",,
"x1083388348364976128",,
"x1083622311096401920",,
"x1083622364523515904",,
"x1083619300458549248",,
"x1083621606163996672",,
"x1083619801782779906","x1938","f"
"x1083428533756723201","x1823","m"
"x1083470965164699648","x1823","m"
"x1083470084637687809","x1289","m"
"x1083444845295878146","x932","m"
"x1083454748848726016","x932","m"
"x1054625153068515328","x932","m"
"x1081082033156308993","x1396","m"
"x1083432085879164928","x1396","m"
"x1053914031587819520","x1396","m"
"x1083342781173637120","x1861","i"
"x1083422648787501057","x1861","i"
"x1083401156322381830","x1505","a"
"x1083401012705144834","x1969","f"
"x1083397852095832064","x1692","i"
"x1083364694780506112","x798","f"
"x1083344498774691840","x1695","m"
"x1067755207776501760","x1695","m"
"x1083347110391701506","x1695","m"
"x1083344720313634816","x1695","m"
"x1066988028638433280","x324","i"
"x1083342383994073088","x324","i"
"x1083326664858320896","x615","f"
"x1081053665945939969","x615","f"
"x1067432998377742336","x780","a"
"x1083295479268601856","x780","a"
"x1083283736798613505","x265","m"
"x1081488890693910528","x738","f"
"x1081275461374758912","x74","f"
"x1081242171255209984","x72","m"
"x1081185491632963586","x1036","i"
"x1081123669341028352","x1366","a"
"x1081105839732211712","x1572","a"
"x1081083518409678849","x584","m"
"x1081076601612353536","x872","f"
"x1067172062853296128","x486","f"
"x1080911167919411200","x486","f"
"x1067155614198042637","x49","f"
"x1080903708139970561","x49","f"
