"status_id","corpus_user_id","Gender"
"1179675195755380737",1000,"m"
"1080428216601534464",1000,"m"
"1113740776700305408",1000,"m"
"1084792520113119232",1000,"m"
"1083723534285893633",1000,"m"
"1055809911295262720",1000,"m"
"1066942272258871296",1000,"m"
"1054409473098424321",1000,"m"
"1053947960801812480",1000,"m"
"1053946348955951105",1000,"m"
"1065953009748926466",1000,"m"
"1059092682843308037",1000,"m"
"1083367500333662208",1000,"m"
"1055426991392997376",1000,"m"
"1083358675316690944",1000,"m"
"1074582614122643458",1000,"m"
"1055410324323602433",1000,"m"
"1059345663618629632",1000,"m"
"1058761123573481472",1000,"m"
"1054762895454752768",1000,"m"
"1083498229902258182",1000,"m"
"1059339532296843264",1000,"m"
"1059338272172883968",1000,"m"
"1114150450092228616",1000,"m"
"1053745058955120640",1000,"m"
"1080842714248294400",1000,"m"
"1083314322816884736",1000,"m"
"1092156025006944259",1000,"m"
"1059172726521368576",1000,"m"
"1062379197107265537",1000,"m"
"1058432702549016576",1000,"m"
"1177601616977043457",1669,"i"
"1055444255861301249",829,"m"
"1177599482638295041",829,"m"
"1176350119131799552",1588,"e"
"1055108081775009795",1588,"e"
"1092329086125592577",1588,"e"
"1115497965186158592",1588,"e"
"1053274544557998081",1588,"e"
"1083429458349080576",534,"i"
"1114165427951636480",534,"i"
"1096024137540292609",534,"i"
"1099986320770904069",534,"i"
"1084803615741628418",534,"i"
"1176172812756762624",534,"i"
"1113783658337525760",534,"i"
"1098146630879068161",534,"i"
"1096096739155685378",534,"i"
"1080511557128339458",534,"i"
"1096120239249592321",534,"i"
"1080897500490407938",1465,"f"
"1096484234116694016",1465,"f"
"1096345363223638016",1465,"f"
"1115516908315578368",1465,"f"
"1083299001427021824",1465,"f"
"1114151603349667845",803,"i"
"1115510954782023680",803,"i"
"1113704030465941505",803,"i"
"1114136808403755008",803,"i"
"1115505488416919552",69,"f"
"1067425209257385984",69,"f"
"1054471397068734465",1879,"m"
"1055563938266517504",1879,"m"
"1115487581880422400",1879,"m"
"1092344941261537280",1879,"m"
"1052810723829669888",1879,"m"
"1115289354090446848",1879,"m"
"1115304742970851329",1879,"m"
"1113832621946081280",1094,"m"
