"year","m","f","i","e","z","a","b","u"
"12",0.35,0.49,0.62,1,NA,0.2,0.2,NA
"14",0.53,0.58,1.66,0.59,0.89,0.46,NA,NA
"16",1.28,1.08,2.53,1.19,2.14,0.39,0.2,1.29
"18",1.73,1.44,3.59,1.85,2.16,1.19,0,NA
"all",0.9,0.91,2.1,1.27,1.7,0.49,0.19,1.29
